selector,offset,request_hex,response_hex,payload_len,data_len,non_ff_bytes,non_ff_float_slots,first_float,second_float,class,prefix_hex
0,16,"00 01 04 56 00 10 00","01 00 38 56 00 00 10 62 F8 08 3B 27 A0 09 3B ED 47 0A 3B B3 EF 0A 3B 78 97 0B 3B 3E 3F 0C 3B 04 E7 0C 3B C9 8E 0D 3B 8F 36 0E 3B 55 DE 0E 3B 1A 86 0F 3B E0 2D 10 3B A6 D5 10 3B",59,52,52,13,0.00209,0.0021,data,"62 F8 08 3B 27 A0 09 3B ED 47 0A 3B B3 EF 0A 3B 78 97 0B 3B ..."
0,19,"00 01 04 56 00 13 00","01 00 38 56 00 00 13 7F 87 22 3B 45 2F 23 3B 0A D7 23 3B D0 7E 24 3B 96 26 25 3B 5B CE 25 3B 21 76 26 3B E7 1D 27 3B AC C5 27 3B 72 6D 28 3B 38 15 29 3B FD BC 29 3B C3 64 2A 3B",59,52,52,13,0.00248,0.00249,data,"7F 87 22 3B 45 2F 23 3B 0A D7 23 3B D0 7E 24 3B 96 26 25 3B ..."
0,20,"00 01 04 56 00 14 00","01 00 38 56 00 00 14 89 0C 2B 3B 4E B4 2B 3B 14 5C 2C 3B DA 03 2D 3B 9F AB 2D 3B 65 53 2E 3B 2B FB 2E 3B F0 A2 2F 3B B6 4A 30 3B 7C F2 30 3B 41 9A 31 3B 07 42 32 3B CD E9 32 3B",59,52,52,13,0.00261,0.00262,data,"89 0C 2B 3B 4E B4 2B 3B 14 5C 2C 3B DA 03 2D 3B 9F AB 2D 3B ..."
0,21,"00 01 04 56 00 15 00","01 00 38 56 00 00 15 92 91 33 3B 58 39 34 3B 1E E1 34 3B E3 88 35 3B A9 30 36 3B 6F D8 36 3B 34 80 37 3B FA 27 38 3B C0 CF 38 3B 85 77 39 3B 4B 1F 3A 3B 11 C7 3A 3B D6 6E 3B 3B",59,52,52,13,0.00274,0.00275,data,"92 91 33 3B 58 39 34 3B 1E E1 34 3B E3 88 35 3B A9 30 36 3B ..."
0,22,"00 01 04 56 00 16 00","01 00 38 56 00 00 16 9C 16 3C 3B 62 BE 3C 3B 27 66 3D 3B ED 0D 3E 3B B3 B5 3E 3B 79 5D 3F 3B 3E 05 40 3B 04 AD 40 3B CA 54 41 3B 8F FC 41 3B 55 A4 42 3B 1B 4C 43 3B E0 F3 43 3B",59,52,52,13,0.00287,0.00288,data,"9C 16 3C 3B 62 BE 3C 3B 27 66 3D 3B ED 0D 3E 3B B3 B5 3E 3B ..."
